,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,step_count_value,light_light_intensity,rotation_x,rotation_y,rotation_z,rotation_theta,rotation_phi,proximity_x,proximity_y,proximity_z,step_detect_value,labelwalkupstairs
2017-06-11 02:33:34.588,0.15456446725490178,-0.71099514712549006,-0.92295588921568628,0.05303392321,-0.71729418729,0.27089783129,,38.833,-0.09524765802,0.1961452896,0.9655271792,0.13819337296,0.5235988,,,,1.0,0
2017-06-11 02:33:34.838,3.3048616113000002,-7.9301765351999993,-2.9893989585999998,0.60483799189,-5.53372412814,5.181875264,,14.296499,-0.23436600301,0.00528532637255,-0.00847650352941,0.150927422902,0.5235988,,,,,0
2017-06-11 02:33:35.088,5.5523604597959197,4.3823056448979596,-1.3453557811612247,0.50663845855,0.90943434845,0.66085313983,,0.0,-0.575064537347,-0.0284130636082,-0.655236603878,0.48712427102,0.5235988,0.0,0.0,0.0,,0
2017-06-11 02:33:35.338,-1.2616775095999999,0.13033748079999993,-0.74602236119999998,-0.51640198286,-0.46730755377,2.133207298,,,-0.5956243394,0.03155070102,-0.5730238282,0.555721371,0.5235988,,,,,0
2017-06-11 02:33:35.588,1.1500477995599998,0.17507160320000001,-0.59310681113999986,-0.60664802419,1.5009100445,0.59362643645,,,-0.5876230304,0.242099348,-0.4679164224,0.610562396,0.5235988,,,,,0
2017-06-11 02:33:35.838,0.40325799088000008,0.59912698380000007,-0.082929275454000043,-0.16988743007,-0.364348694818,-0.191128677867,,,-0.5805923948,0.3222491028,-0.525437155,0.5308965424,0.5235988,,,,1.0,0
2017-06-11 02:33:36.088,1.7940947678200001,-0.77000556940000009,0.12937976231999998,0.41886258195,-0.368245577584,0.31639350405,,,-0.6016856124,0.300235662,-0.4839368214,0.5592789014,0.5235988,,,,1.0,0
2017-06-11 02:33:36.338,1.6362226400000004,-1.5493248643999999,-0.67414561140000007,-1.18123107071,-0.197855907547,-1.17617631188,,,-0.6406923232,0.2766288102,-0.4725725132,0.5338840908,0.5235988,,,,,0
2017-06-11 02:33:36.588,-2.5364500668000005,1.2321535239080001,2.0502292384,-0.64694784399,-1.5617271214,-1.33865669346,,,-0.7978205196,0.15771683912,-0.4453762354,0.3651107686,0.5235988,,,,,0
2017-06-11 02:33:36.838,-1.3068966482000002,-0.89903266140000004,0.94452058820000018,1.2963977832,1.22712682074,1.0202082769,,,-0.7929422462,0.11534808346,-0.4264936178,0.411417851,0.5235988,,,,1.0,0
